year,sentiment,pos_count,neg_count,mdna_length,pos_per_10k,neg_per_10k,neg_ratio
2020,0.07740916271721959,341,292,19719,172.9296617475531,148.08053146711293,0.46129541864139023
2021,0.22698268003646307,673,424,28523,235.94993514006242,148.65196508081198,0.3865086599817685
2022,0.22234392113910187,558,355,24323,229.41249023557947,145.9523907412737,0.3888280394304491
2023,0.1334841628959276,501,383,23673,211.6335065264225,161.78769061800364,0.4332579185520362
2024,0.15901814300960512,543,394,25199,215.48474145799437,156.35541092900513,0.4204909284951974
